,Price,BHK,beds,baths,balcony,covered-parking,Carpet Area,Developer,Project,Floor,Transaction type,Status,Lifts,Address,Furnishing,Flooring,Water Availability,Status of Electricity,Price_Updated,BHK_2
666,15000000,3,3,3,3,1,1400,Delhi Development Authority DDA,LIG DDA Flat,2 (Out of 8 Floors),New Property,Ready to Move,2,"Dwarka sector 10, Sector 10 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Marble,24 Hours Available,No/Rare Powercut,₹1.50 Cr,3 
667,28000000,3,3,2,2,nan,1300,DLF Ltd.,DLF Capital Greens 1 and 2,1 (Out of 26 Floors),Resale,Ready to Move,4,"Moti Nagar, New Delhi, Moti Nagar, New Delhi - West, Delhi NCR",Furnished,"Marble, Vitrified, Wooden",24 Hours Available,No/Rare Powercut,₹2.80 Cr,3 
668,3300000,2,2,nan,1,nan,550,,,2 (Out of 4 Floors),Resale,Ready to Move,0,"New Delhi, Laxmi Nagar, New Delhi - East, Delhi NCR",Semi-Furnished,,,,₹33.0 Lac,2 
669,41500000,3,3,3,3,nan,1500,,,2 (Out of 4 Floors),New Property,Ready to Move,0,"Green Park main, Green Park, New Delhi - South, Delhi NCR",Semi-Furnished,,,,₹4.15 Cr,3 
670,60000000,3,3,4,3,nan,2250,,,3 (Out of 4 Floors),New Property,Ready to Move,0,"M block, GK II, New Delhi - South, Delhi NCR",Semi-Furnished,,,,₹6.0 Cr,3 
671,45000000,3,3,3,2,nan,167,,,1 (Out of 4 Floors),New Property,Ready to Move,0,"New Rajendra Nagar, New Delhi - Central, Delhi NCR",Unfurnished,,,,₹4.50 Cr,3 
672,4500000,2,2,2,nan,nan,800,,,Ground (Out of 4 Floors),Resale,Ready to Move,0,"New Delhi, Freedom Fighters Enclave, New Delhi - South, Delhi NCR",Semi-Furnished,,,,₹45.0 Lac,2 
673,42500000,3,3,4,2,nan,2150,,,3 (Out of 4 Floors),Resale,Ready to Move,0,"3rd floor with terrace in New friends colony, New Friends Colony, New Delhi - South, Delhi NCR",Semi-Furnished,,,,₹4.25 Cr,3 
674,7500000,2,2,2,nan,nan,70,,,1 (Out of 3 Floors),Resale,Ready to Move,0,"Vikaspuri Block H, New Delhi - West, Delhi NCR",Semi-Furnished,Marble,,,₹75.0 Lac,2 
675,7300000,2,2,2,nan,nan,790,,,1 (Out of 4 Floors),Resale,Ready to Move,0,"Paschim vihar., Paschim Vihar Block A6, New Delhi - West, Delhi NCR",Furnished,"Ceramic Tiles, Granite, Marble",24 Hours Available,No/Rare Powercut,₹73.0 Lac,2 
676,16500000,3,3,2,2,1,1300,Cooperative Group Housing Society,Harsukh Apartment,3 (Out of 4 Floors),Resale,Ready to Move,2,"dwarka sector 7, Sector 7 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,"Mosaic, Vitrified, Marble",24 Hours Available,No/Rare Powercut,₹1.65 Cr,3 
